price,product_name,rating,no_of_rating_givers,no_of_review_givers,image_link,product_page_link
91999,"Lenovo Legion 5i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX NVIDIA® GEFORCE® GTX 1650Ti 4GB GDDR6) Legion 5i Gaming Laptop  (15.6 inch, Phantom Black, With MS Office)",0.0,0,0,https://rukminim1.flixcart.com/image/416/416/ke1pnrk0/computer/e/v/z/lenovo-legion-5i-gaming-laptop-original-imafutnfmzydqgug.jpeg?q=70,https://www.flipkart.com/lenovo-legion-5i-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-nvidia-geforce-1650ti-4gb-gddr6-gaming-laptop/p/itm2086556b03fa0?pid=COMFUTMDE2ZUQEVZ&lid=LSTCOMFUTMDE2ZUQEVZKACBFT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_593&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMFUTMDE2ZUQEVZ.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
25490,"HP Athlon Dual Core - (4 GB/256 GB SSD/DOS) 255 G8 Notebook  (15.6 inch, Black)",0.0,0,0,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/k/b/e/hp-255-g8-notebook-hp-original-imaggy5krqffjz4j.jpeg?q=70,https://www.flipkart.com/hp-athlon-dual-core-4-gb-256-gb-ssd-dos-255-g8-notebook/p/itm033d0e2d0460b?pid=COMGGY88FRZYNF8P&lid=LSTCOMGGY88FRZYNF8PZ6GGMG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_594&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMGGY88FRZYNF8P.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
30199,"Lenovo IdeaPad 3 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10 Home) 14IGL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.5 Kg)",0.0,0,0,https://rukminim1.flixcart.com/image/416/416/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-3-celeron-dual-core-4-gb-256-gb-ssd-windows-10-home-14igl05-thin-light-laptop/p/itmb3012f13f9740?pid=COMG88H7FVHHKHJG&lid=LSTCOMG88H7FVHHKHJGRMRM7N&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_595&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMG88H7FVHHKHJG.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
69990,"acer Swift 3 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) SF314-512 Thin and Light Laptop  (14 Inch, Pure Silver, 1.25 kg, With MS Office)",0.0,0,0,https://rukminim1.flixcart.com/image/416/416/l48s9zk0/computer/e/n/0/-original-imagf6z3yxgmucxj.jpeg?q=70,https://www.flipkart.com/acer-swift-3-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-sf314-512-thin-light-laptop/p/itm227affa2df995?pid=COMGEEJ4AC4FZZNB&lid=LSTCOMGEEJ4AC4FZZNBJ7NCDL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_596&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMGEEJ4AC4FZZNB.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
78500,"DELL Vostro Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Vostro 5620 Notebook  (16 Inch, Titan gray, 1.91 Kg, With MS Office)",0.0,0,0,https://rukminim1.flixcart.com/image/416/416/l1mh7rk0/computer/w/5/m/vostro-5620-notebook-dell-original-imagd5kxzjhyw9hx.jpeg?q=70,https://www.flipkart.com/dell-vostro-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-5620-notebook/p/itm894c081075d5d?pid=COMGD436JH6ERZHJ&lid=LSTCOMGD436JH6ERZHJGPCHTO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_597&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMGD436JH6ERZHJ.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
47990,"DELL Inspiron Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 inch, Platinum Silver, 1.8 kg, With MS Office)",4.3,63,6,https://rukminim1.flixcart.com/image/416/416/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,https://www.flipkart.com/dell-inspiron-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itmd532a28762bc4?pid=COMG9NYDHKR6PZ8W&lid=LSTCOMG9NYDHKR6PZ8W7CCKJQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_598&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMG9NYDHKR6PZ8W.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
21490,"Avita SATUS ULTIMUS S111 Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-CG Laptop  (14.1 Inch, Champagne Gold)",3.9,279,35,https://rukminim1.flixcart.com/image/416/416/l2qhjm80/computer/f/8/i/-original-imageye8rydawpxz.jpeg?q=70,https://www.flipkart.com/avita-satus-ultimus-s111-celeron-dual-core-4-gb-128-gb-ssd-windows-11-home-nu14a1inc43pn-cg-laptop/p/itm9b7c11768d2cd?pid=COMGCPSTEG5C7NCU&lid=LSTCOMGCPSTEG5C7NCUOOVSB2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_599&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMGCPSTEG5C7NCU.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
105990,"MSI Pulse GL66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/144 Hz) Pulse GL66 11UDK-627IN Gaming Laptop  (15.6 inches, Grey, 2.25 kg)",4.6,5,2,https://rukminim1.flixcart.com/image/416/416/kr3tj0w0/computer/b/p/r/na-notebook-msi-original-imag4z5zs2xkvmwh.jpeg?q=70,https://www.flipkart.com/msi-pulse-gl66-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-ti-144-hz-11udk-627in-gaming-laptop/p/itmf2570341d6a22?pid=COMG4S3GVRJR8KHS&lid=LSTCOMG4S3GVRJR8KHSLMIXZU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_25_600&otracker=search&otracker1=search&fm=organic&iid=46aa0830-351c-4722-b49a-8cc9148fa27d.COMG4S3GVRJR8KHS.SEARCH&ppt=None&ppn=None&ssid=9x3b8nq78g0000001662726325558&qH=312f91285e048e09
38990,"Lenovo Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) V15 ITL G2 Thin and Light Laptop  (15 inch, Black, 2.47 kg, With MS Office)",4.3,120,13,https://rukminim1.flixcart.com/image/416/416/ktrk13k0/computer/a/q/c/v15-itl-gen-2-thin-and-light-laptop-lenovo-original-imag7fh6pmds7p5r.jpeg?q=70,https://www.flipkart.com/lenovo-core-i3-11th-gen-4-gb-256-gb-ssd-windows-10-home-v15-itl-g2-thin-light-laptop/p/itm2ade9bee0cf74?pid=COMG6VRP72S2JASD&lid=LSTCOMG6VRP72S2JASDEEGRHK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_26_601&otracker=search&otracker1=search&fm=organic&iid=d9a8dad0-1da6-48f7-a8c2-52130e163596.COMG6VRP72S2JASD.SEARCH&ppt=None&ppn=None&ssid=q9h3t2bq7k0000001662726388099&qH=312f91285e048e09
129999,"acer Predator Helios 300 Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1050Ti) G3-572 Gaming Laptop  (15.6 inch, Black, 2.7 kg)",4.5,3226,693,https://rukminim1.flixcart.com/image/416/416/j5ws0i80/computer/g/p/d/acer-na-notebook-original-imaewhwtbtzwe7ct.jpeg?q=70,https://www.flipkart.com/acer-predator-helios-300-core-i5-7th-gen-8-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1050ti-g3-572-gaming-laptop/p/itmf3s3fgfy36h67?pid=COMEWGGDGQDDSGPD&lid=LSTCOMEWGGDGQDDSGPDUNPWSL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_26_602&otracker=search&otracker1=search&fm=organic&iid=d9a8dad0-1da6-48f7-a8c2-52130e163596.COMEWGGDGQDDSGPD.SEARCH&ppt=None&ppn=None&ssid=q9h3t2bq7k0000001662726388099&qH=312f91285e048e09
52990,"MSI Ryzen 7 Octa Core 5700U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 A5M-280IN Notebook  (15.6 inch, Carbon Gray, 1.6 Kg)",0.0,0,0,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/j/y/modern-15-a5m-280in-notebook-msi-original-imagghky6pgysr4f.jpeg?q=70,https://www.flipkart.com/msi-ryzen-7-octa-core-5700u-8-gb-512-gb-ssd-windows-11-home-modern-15-a5m-280in-notebook/p/itm6f39f9e859ea0?pid=COMGGJMYS2D88GQP&lid=LSTCOMGGJMYS2D88GQPFEETG9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_26_603&otracker=search&otracker1=search&fm=organic&iid=d9a8dad0-1da6-48f7-a8c2-52130e163596.COMGGJMYS2D88GQP.SEARCH&ppt=None&ppn=None&ssid=q9h3t2bq7k0000001662726388099&qH=312f91285e048e09
65990,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) FX506LI-HN271TS Gaming Laptop  (15.6 Inch, Black Plastic, 2.3 KG, With MS Office)",4.4,4152,413,https://rukminim1.flixcart.com/image/416/416/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-144-hz-fx506li-hn271ts-laptop/p/itme14aa4095ad4c?pid=COMGFVWMZXNEDHFB&lid=LSTCOMGFVWMZXNEDHFBKVM1HI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_26_604&otracker=search&otracker1=search&fm=organic&iid=d9a8dad0-1da6-48f7-a8c2-52130e163596.COMGFVWMZXNEDHFB.SEARCH&ppt=None&ppn=None&ssid=q9h3t2bq7k0000001662726388099&qH=312f91285e048e09
91100,"HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15-fb0053AX Gaming Laptop  (15.6 Inch, Mica Silver, 2.37 Kg, With MS Office)",0.0,0,0,https://rukminim1.flixcart.com/image/416/416/l5bd5zk0/computer/l/e/k/15-fb0040ax-gaming-laptop-hp-original-imaggyuezf9qtypd.jpeg?q=70,https://www.flipkart.com/hp-victus-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0053ax-gaming-laptop/p/itm844224a44bf25?pid=COMGGYEBNC6XDG4W&lid=LSTCOMGGYEBNC6XDG4WQUTEUT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_26_605&otracker=search&otracker1=search&fm=organic&iid=d9a8dad0-1da6-48f7-a8c2-52130e163596.COMGGYEBNC6XDG4W.SEARCH&ppt=None&ppn=None&ssid=q9h3t2bq7k0000001662726388099&qH=312f91285e048e09
57699,"Lenovo IdeaPad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05 2 in 1 Laptop  (14 inch, Graphite Grey, 1.5 kg, With MS Office)",4.5,277,35,https://rukminim1.flixcart.com/image/416/416/ku5ufm80/computer/a/x/a/na-2-in-1-laptop-lenovo-original-imag7cmytyfjazq4.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-flex-5-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-14itl05-2-1-laptop/p/itm63de741dcab42?pid=COMGY8Y5X3TUEA3F&lid=LSTCOMGY8Y5X3TUEA3FIADZBG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_26_606&otracker=search&otracker1=search&fm=organic&iid=d9a8dad0-1da6-48f7-a8c2-52130e163596.COMGY8Y5X3TUEA3F.SEARCH&ppt=None&ppn=None&ssid=q9h3t2bq7k0000001662726388099&qH=312f91285e048e09
